schoolid,teacherid,collegeid,guanxi
5001,290,4003,所属
5001,291,4003,所属
5001,292,4003,所属
5001,293,4003,所属
5001,294,4004,所属
5001,295,4003,所属
5001,296,4003,所属
5001,297,4003,所属
5001,298,4003,所属
5001,299,4003,所属
5001,300,4003,所属
5001,301,4003,所属
5001,302,4003,所属
5001,303,4003,所属
5001,304,4003,所属
5001,305,4003,所属
5001,306,4003,所属
5001,307,4003,所属
5001,308,4003,所属
5001,309,4003,所属
5001,310,4003,所属
5001,311,4003,所属
5001,312,4003,所属
5001,313,4003,所属
5001,314,4003,所属
5001,315,4003,所属
5001,316,4003,所属
5001,317,4003,所属
5001,318,4003,所属
5001,319,4003,所属
5001,320,4003,所属
5001,321,4004,所属
5001,322,4004,所属
5001,323,4004,所属
5001,324,4004,所属
5001,325,4004,所属
5001,326,4004,所属
5001,327,4004,所属
5001,328,4004,所属
5001,329,4004,所属
5001,330,4004,所属
5001,331,4004,所属
5001,332,4004,所属
5001,333,4004,所属
5001,334,4004,所属
5001,335,4004,所属
5001,336,4004,所属
5001,337,4004,所属
5001,338,4004,所属
5001,339,4004,所属
5001,340,4004,所属
5001,341,4004,所属
5001,342,4004,所属
5001,343,4004,所属
5001,344,4004,所属
5001,345,4004,所属
5001,346,4004,所属
5001,347,4004,所属
5001,348,4004,所属
5001,349,4004,所属
5001,350,4004,所属
5001,351,4004,所属
5001,352,4004,所属
5001,353,4004,所属
5001,354,4004,所属
5001,355,4004,所属
5001,356,4004,所属
5001,357,4004,所属
5001,358,4004,所属
5001,359,4004,所属
5001,360,4004,所属
5001,361,4004,所属
5001,362,4004,所属
5001,363,4004,所属
5001,364,4004,所属
5001,365,4004,所属
5001,366,4004,所属
5001,367,4004,所属
5001,368,4002,所属
5001,369,4002,所属
5001,370,4002,所属
5001,371,4002,所属
5001,372,4002,所属
5001,373,4002,所属
5001,374,4006,所属
5001,375,4002,所属
5001,376,4002,所属
5001,377,4002,所属
5001,378,4002,所属
5001,379,4002,所属
5001,380,4002,所属
5001,381,4002,所属
5001,382,4002,所属
5001,383,4002,所属
5001,384,4002,所属
5001,385,4002,所属
5001,386,4002,所属
5001,387,4002,所属
5001,388,4002,所属
5001,389,4002,所属
5001,390,4002,所属
5001,391,4002,所属
5001,392,4006,所属
5001,393,4002,所属
5001,394,4002,所属
5001,395,4002,所属
5001,396,4002,所属
5001,397,4002,所属
5001,398,4002,所属
5001,399,4002,所属
5001,400,4002,所属
5001,401,4002,所属
5001,402,4002,所属
5001,403,4002,所属
5001,404,4002,所属
5001,405,4002,所属
5001,406,4002,所属
5001,407,4002,所属
5001,408,4002,所属
5001,409,4002,所属
5001,410,4002,所属
5001,411,4002,所属
5001,412,4002,所属
5001,413,4002,所属
5001,414,4002,所属
5001,415,4002,所属
5001,416,4002,所属
5001,417,4002,所属
5001,418,4002,所属
5001,419,4002,所属
5001,420,4002,所属
5001,421,4002,所属
5001,422,4002,所属
5001,423,4002,所属
5001,424,4002,所属
5001,425,4002,所属
5001,426,4002,所属
